animal_id,animal_name,gender,age,shelter_id,bio,breed_id,color,size,medical_id
44399911,Lotem,Male,Adult,1,nothing,7,Black,Medium,
44399910,Birch,Male,Young,1,nothing,7,Gray / Blue / Silver,Medium,
44394487,Mara,Female,Adult,1,nothing,1,,Medium,
44389764,Boy Cecere,Male,Young,1,nothing,7,Black,Medium,
44389765,Quint,Male,Adult,1,nothing,7,,Large,
44389763,Foxtrot,Female,Young,1,nothing,1,Black & White / Tuxedo,Small,
44389762,Guinness Girl,Female,Adult,1,nothing,1,,Medium,
44384335,Barbagalla,Female,Adult,1,nothing,1,Black,Medium,
44346956,Kwahu,Male,Young,1,nothing,1,Orange & White,Medium,
44330432,Mr. Meowington,Male,Young,1,nothing,7,Gray / Blue / Silver,Medium,
44240885,Miss Purrington,Female,Young,1,nothing,1,Black & White / Tuxedo,Medium,
44240883,Gray Jay,Male,Young,1,nothing,1,,Medium,
44240884,Vireo,Female,Baby,1,nothing,1,,Medium,
44232882,Joanne,Female,Young,1,nothing,1,Black & White / Tuxedo,Medium,
44232880,Piper 2,Male,Adult,1,nothing,1,White,Large,
44232881,Boeing,Male,Adult,1,nothing,1,Gray & White,Large,
44177407,Redford,Male,Young,1,nothing,7,Orange / Red,Medium,
44177406,Habibi,Female,Adult,1,nothing,1,Black & White / Tuxedo,Large,
44149431,Piper,Female,Baby,1,nothing,8,Gray / Blue / Silver,Small,
44126070,Persimmon,Male,Baby,1,nothing,1,Black & White / Tuxedo,Medium,
44333934,ZEB,Male,Adult,3,nothing,1,Gray & White,Medium,
44252476,JILL,Female,Baby,3,nothing,9,White,Medium,
44038641,GERTI,Female,Baby,3,nothing,10,Tortoiseshell,Medium,
43998709,MARY,Female,Young,3,nothing,1,Tabby (Gray / Blue / Silver),Small,
43945841,MAXWELL,Male,Adult,3,nothing,1,Orange & White,Large,
43905429,SMITTY,Male,Adult,3,nothing,1,White,Large,
43826303,DIA,Female,Baby,3,nothing,8,Tabby (Tiger Striped),Small,
43819502,MURPHY,Male,Adult,3,nothing,1,Gray / Blue / Silver,Large,
43766168,LILLY,Female,Adult,3,nothing,8,Tabby (Tiger Striped),Medium,
43681786,KITTY,Female,Young,3,nothing,1,Gray / Blue / Silver,Small,
43621177,STREUSEL & KRISP (littens),Female,Baby,3,nothing,1,Black & White / Tuxedo,Small,
43616487,CRUMBLES & TOAST (kittens),Male,Baby,3,nothing,1,Black,Small,
43529973,SABRINA & SNOOPY (kittens),Female,Baby,3,nothing,1,Black,Small,
43418925,QUINCY,Male,Young,3,nothing,11,Black & White / Tuxedo,Medium,
43319168,Gi Gi,Female,Adult,3,nothing,12,Dilute Tortoiseshell,Medium,
43207477,Eeyore,Male,Young,3,nothing,13,Tabby (Orange / Red),Medium,
43101257,HERBIE,Male,Young,3,nothing,11,Black & White / Tuxedo,Medium,
43028017,SADIE,Female,Adult,3,nothing,10,Tortoiseshell,Medium,
43022276,HUNTER,Female,Young,3,nothing,13,Tabby (Brown / Chocolate),Medium,
43022191,MIA,Female,Young,3,nothing,7,Gray / Blue / Silver,Small,
